d_id,name,specialty,office,qualification,email,contact_number
1,Elliot Reid,Geriatric Medicine Specialist,90,MD,elliot@gmail.com,0987654321
2,John Dorian,Dermatology,2,MBBS,john@gmail.com,1234567890
3,Christopher Turk,Gastroenterologist,3,MD,chris@gmail.com,1253436789
4,Will Smith,Cardiology,4,MBBS,will@gmail.com,7632494739
5,Percival Cox,Diagnostic radiology,6,MD,cox@gmail.com,8765345679
6,Eva Smith,Physician,6,MD,eva@gmail.com,0986456789
7,Bob Kelso,Radiology,7,MBBS,bob@gmail.com,7653289654
8,John Wen,Nursing,8,BN,johnwen@gmail.com,5674367865
9,Keith Dudemeister,Nursing,99,MBBS,keith@gmail.com,7642897645
10,Bella Griffin,Neurology,10,MD,bella@gmail.com,8764523680
